IMDB_ID,TITLE_TW,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRECTOR_RANK,DIRECTOR_SCORE,STAR_1,STAR_1_RANK,STAR_1_SCORE,STAR_2,STAR_2_RANK,STAR_2_SCORE,STAR_3,STAR_3_RANK,STAR_3_SCORE,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt0369610,侏羅紀世界,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2820852,玩命關頭7,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2395427,復仇者聯盟2：奧創紀元,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4967094/,我的少女時代,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2381249,不可能的任務：失控國度,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4649466,金牌特務,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0478970,蟻人,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2293640,小小兵,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2361509,高年級實習生,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2488496,星際大戰：原力覺醒,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2126355,加州大地震,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4046784,移動迷宮：焦土試煉,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2379713,007：惡魔四伏,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3659388,絕地救援,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2096673,腦筋急轉彎,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1951266,飢餓遊戲：自由幻夢終結戰,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2446042,即刻救援3,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2888046,葉問3,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3079380,麻辣賤諜,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2179136,美國狙擊手,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4674500,大囍臨門,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1340138,魔鬼終結者：創世契機,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2322441,格雷的五十道陰影,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2848292,歌喉讚2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2637276,熊麻吉2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2084970,模仿遊戲,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2908446,分歧者2：叛亂者,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1392190,瘋狂麥斯：憤怒道,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2719848,聖母峰,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1638355,紳士密令,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5227020,追婚日記,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4788638,破風,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1964418,明日世界,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1754656,小王子,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5078188,紅衣小女孩,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1618442,獵巫行動：大滅絕,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1823672,成人世界,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1617661,朱比特崛起,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3508840,刺客聶隱娘,,,,,,,,,,,,,,,,,,,,,,,,,,
tt6159026,角頭,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2938956,玩命快遞：肆意橫行,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3682448,間諜橋,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1661199,仙履奇緣,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2503944,天菜大廚,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2446980,翻轉幸福,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1911658,馬達加斯加爆走企鵝,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1390411,白鯨傳奇：怒海之心,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2180411,魔法黑森林,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2510894,尖叫旅社2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2199571,一夜狂奔,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2679042,刺客任務：殺手47,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2562232,鳥人,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2452042,史努比,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1018765,危機女王,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3316960,我想念我自己,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3195644,陰兒房第3章：從靈開始,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2381941,決勝焦點,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2120120,世界大對戰,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2058673,飆風特攻,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1502712,驚奇4超人2015,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3737650,名偵探柯南：業火的向日葵,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5540084,灣生回家,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2554274,腥紅山莊,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5257730,剩者為王,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1051904,怪物遊戲,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2402101,暗處,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1524930,全家玩到趴,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1528854,家有兩個爸,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3332064,潘恩：航向夢幻島,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2279373,海綿寶寶：海陸大出擊,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1727776,殭屍教戰守則,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1798684,震撼擂台,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3488710,走鋼索的人,,,,,,,,,,,,,,,,,,,,,,,,,,
