IMDB_ID,TITLE_TW,NICK_NAME,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRETCOR_OSCAR,DIRECTOR_WINS,DIRECTOR_NOMINATIONS,DIRECTOR_RATINGS,STAR_1,STAR_1_OSCARS,STAR_1_WINS,STAR_1_NOMINATIONS,STAR_1_RATINGS,STAR_2,STAR_2_OSCARS,STAR_2_WINS,STAR_2_NOMINATIONS,STAR_2_RATINGS,STAR_3,STAR_3_OSCARS,STAR_3_WINS,STAR_3_NOMINATIONS,STAR_3_RATINGS,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_PUSH,PTT_ARROW,PTT_PULL,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt1596363,大賣空,大賣空/賣空,The Big Short,2016/1/15,USA,7.8,"Biography,Comedy,Drama",28000000,130,Adam McKay,0,22,30,6.925,Christian Bale,0,65,82,8.375,Steve Carell,0,33,120,7.75,Ryan Gosling,0,32,136,7.775,4.5,157,,,,,,110831,136,5
tt2304933,第五毀滅,第五毀滅/五毀滅,The 5th Wave,2016/1/21,USA,5.2,"Action,Adventure,Sci-Fi",38000000,112,J Blakeson,0,0,2,6.1,Chlo禱 Grace Moretz,0,25,41,7.25,Matthew Zuk,0,0,1,7.625,Gabriela Lopez,0,0,0,5.933333333,3.4,336,,,,,,193603,263,12
tt1860213,阿公歐買尬,阿公歐買尬/歐買尬/阿公,Dirty Grandpa,2016/1/22,USA,6,Comedy,27500000,102,Dan Mazer,0,3,7,6.25,Robert De Niro,0,51,90,8.225,Zac Efron,0,28,30,6.1,Zoey Deutch,0,1,2,6.825,4.3,164,,,,,,367402,518,75
tt4172430,13小時：班加西的秘密士兵,13小時：班加西的秘密士兵/13小時,13 Hours,2016/1/29,"Malta,Morocco,USA",7.3,"Action,Drama,History",50000000,144,Michael Bay,0,8,10,6.5,John Krasinski,0,6,20,7.3,Pablo Schreiber,0,3,1,7.025,James Badge Dale,0,2,8,7.475,4.6,371,,,,,,252003,292,14
tt4168022,妖怪手錶：誕生的秘密喵,妖怪手錶：誕生的秘密喵/妖怪手錶/妖錶,Y繫kai Watch: Tanj繫 no himitsuda nyan,2016/1/29,"Japan,USA",5.5,"Animation,Action,Comedy",NA,97,Shigeharu Takahashi,0,0,1,6.2,Haruka Tomatsu,0,0,0,7.2,Tomokazu Seki,0,0,0,7.275,Etsuko Kozakura,0,0,0,7.3,4.6,194,,,,,,199959,280,55
tt6075688,大尾鱸鰻2,大尾鱸鰻2/鱸鰻2/大尾,David Loman 2,2016/2/5,Taiwan,3.1,Comedy,NA,NA,Li-Kwan Chiu,0,1,0,4.9,Ko-Liang Chu,0,0,0,4.275,Tony Yo-ning Yang,0,1,1,6.366666667,Amber Kuo,0,2,3,6.375,3.1,873,,,,,,1399378,1360,613
tt5930232,人生按個讚,人生按個讚/按個讚,Ren sheng an ge zan,2016/2/5,Taiwan,3.1,"Comedy,Drama",NA,101,Jen-Ya Wu,0,0,0,4.8,Chih-Hsiung Hu,0,0,0,5.3,Bing-Bing Pai,0,0,0,4.95,Bruce Hung,0,0,0,3.475,4.1,315,,,,,,192121,522,50
tt1979388,恐龍當家,恐龍當家,Konglong dangjia,2016/2/6,USA,6.7,"Animation,Adventure,Comedy",200000000,93,Peter Sohn,0,0,6,7.85,Jeffrey Wright,0,11,32,7.2,Frances McDormand,0,54,53,7.7,Maleah Nipay-Padilla,0,0,0,6.066666667,4.5,165,,,,,,457153,468,85
tt1431045,惡棍英雄：死侍,惡棍英雄：死侍/死侍,Deadpool,2016/2/9,USA,8,"Action,Adventure,Comedy",58000000,108,Tim Miller,0,1,8,6.9,Ryan Reynolds,0,16,42,6.825,Morena Baccarin,0,2,12,7.775,T.J. Miller,0,1,5,7.725,4.1,982,,,,,,1461013,3812,71
tt1895587,驚爆焦點,驚爆焦點/驚爆,Spotlight,2016/2/19,USA,8.1,"Crime,Drama,History",20000000,128,Tom McCarthy,0,74,97,7.35,Mark Ruffalo,0,29,106,7.925,Michael Keaton,0,64,38,7.625,Rachel McAdams,0,21,47,7.45,4.5,164,,,,,,41690,167,1
tt2948356,動物方城市,動物方程市/方程市,Zootopia,2016/2/26,USA,8,"Animation,Adventure,Comedy",150000000,108,Byron Howard,0,10,12,7.6,Ginnifer Goodwin,0,3,15,7.775,Jason Bateman,0,12,35,7.825,Idris Elba,0,22,76,7.25,4.9,1274,,,,,,593481,1180,53
tt2404233,荷魯斯之眼：王者爭霸,荷魯斯之眼：王者爭霸/荷魯斯之眼/王者爭霸,Gods of Egypt,2016/2/26,"USA,Australia",5.4,"Action,Adventure,Fantasy",140000000,127,Alex Proyas,0,6,7,7.15,Brenton Thwaites,0,2,1,6.4,Nikolaj Coster-Waldau,0,0,15,7.575,Gerard Butler,0,4,15,7.4,4.5,446,,,,,,608097,1130,48
tt3170832,不存在的房間,不存在的房間/房間,Room,2016/2/26,"Ireland,Canada,UK,USA",8.2,Drama,13000000,118,Lenny Abrahamson,0,24,25,7.15,Brie Larson,0,59,51,7.525,Jacob Tremblay,0,20,24,6.875,Sean Bridgers,0,3,2,7.05,4.6,197,,,,,,245302,510,5
tt3300542,全面攻佔2：倫敦救援,全面攻佔2：倫敦救援/全面攻佔2/倫敦救援,London Has Fallen,2016/3/4,"UK,Bulgaria,USA",5.9,"Action,Crime,Drama",60000000,99,Babak Najafi,0,5,3,6.4,Gerard Butler,0,4,15,7.4,Aaron Eckhart,0,7,17,7.2,Morgan Freeman,0,58,76,8.35,4.5,525,,,,,,317720,417,30
tt2402927,因為愛你,因為愛你,Carol,2016/3/4,"UK,USA",7.2,"Drama,Romance",11800000,118,Todd Haynes,0,57,90,7.15,Cate Blanchett,0,149,184,8.55,Rooney Mara,0,26,62,7.45,Sarah Paulson,0,20,29,7.675,4.5,285,,,,,,88794,358,3
tt2025690,絕命救援,絕命救援,The Finest Hours,2016/3/11,USA,6.8,"Action,Drama,History",80000000,117,Craig Gillespie,0,4,9,6.9,Chris Pine,0,7,25,7.625,Casey Affleck,0,64,51,8.125,Ben Foster,0,7,30,7.425,4.5,221,,,,,,163372,102,10
tt3464902,單身動物園,單身動物園/單身,The Lobster,2016/3/11,"Greece,Ireland,Netherlands,UK,France",7.1,"Comedy,Drama,Romance",NA,119,Yorgos Lanthimos,0,34,47,7.15,Colin Farrell,0,13,51,7.175,Rachel Weisz,0,17,32,6.875,Jessica Barden,0,0,1,6.7,3.7,77,,,,,,55399,161,1
tt3882082,託陰,託陰,The Boy,2016/3/11,"USA,China,Canada",6,"Horror,Mystery,Thriller",8000000,97,William Brent Bell,0,0,2,5.3,Lauren Cohan,0,0,3,5.75,Rupert Evans,0,1,1,6.475,James Russell,0,0,0,6.9,4.1,224,,,,,,233432,408,16
tt3410834,分歧者3：赤誠者,分歧者3：赤誠者/分歧者3/赤誠者,Allegiant,2016/3/18,USA,5.7,"Action,Adventure,Mystery",110000000,120,Robert Schwentke,0,3,3,6.7,Shailene Woodley,0,33,65,6.7,Theo James,0,3,7,6.275,Jeff Daniels,0,11,33,7.5,4.3,297,,,,,,181793,265,7
tt2975590,蝙蝠俠對超人：正義曙光,蝙蝠俠對超人：正義曙光/蝙蝠俠對超人/正義曙光,Batman v Superman: Dawn of Justice,2016/3/25,USA,6.6,"Action,Adventure,Sci-Fi",250000000,151,Zack Snyder,0,3,12,7.125,Ben Affleck,0,71,105,7.925,Henry Cavill,0,2,11,6.75,Amy Adams,0,65,189,7.3,4.1,1331,,,,,,1353889,2596,129
