IMDB_ID,TITLE_TW,NICK_NAME,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRETCOR_OSCAR,DIRECTOR_WINS,DIRECTOR_NOMINATIONS,DIRECTOR_RATINGS,STAR_1,STAR_1_OSCARS,STAR_1_WINS,STAR_1_NOMINATIONS,STAR_1_RATINGS,STAR_2,STAR_2_OSCARS,STAR_2_WINS,STAR_2_NOMINATIONS,STAR_2_RATINGS,STAR_3,STAR_3_OSCARS,STAR_3_WINS,STAR_3_NOMINATIONS,STAR_3_RATINGS,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_PUSH,PTT_ARROW,PTT_PULL,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt4288532,鐵獅玉玲瓏2,,Lion Dancing,2014/1/24,Taiwan,4.2,Comedy,NA,113,Chia-Chia Peng,0,0,1,3.833333333,Chia-Chia Peng,0,0,1,3.833333333,Hsiao-shun Hsu,0,0,0,5.75,Ke-Li Miao,0,1,0,4.4,4.2,196,0,0,0,0,0,501442,896,55
tt2799166,驚字塔,,The Pyramid,2014/12/5,USA,4.6,"Action,Adventure,Horror",6500000,89,Gr矇gory Levasseur,0,0,0,6.325,Ashley Hinshaw,0,0,0,6.25,James Buckley,0,0,3,6.05,Denis O'Hare,0,1,9,7.625,3.7,129,0,0,0,0,0,421945,472,42
tt2446042,即刻救援3,,Taken 3,2015/1/9,"France,USA,Spain",6,"Action,Thriller",48000000,109,Olivier Megaton,0,2,2,6.2,Liam Neeson,0,20,38,7.875,Forest Whitaker,0,55,53,7.75,Maggie Grace,0,1,5,7.35,4.4,429,4,162,39,7,208,561461,1466,40
tt2179136,美國狙擊手,,American Sniper,2015/1/15,USA,7.3,"Action,Biography,Drama",58800000,133,Clint Eastwood,0,141,155,8.15,Bradley Cooper,0,28,62,7.575,Sienna Miller,0,4,19,6.775,Kyle Gallner,0,2,2,6.15,4.6,652,5,55,16,1,72,549946,991,19
tt2562232,鳥人,,Birdman or,2015/1/16,USA,7.8,"Comedy,Drama",18000000,119,Alejandro Gonz獺lez I簽獺rritu,0,114,151,7.7,Michael Keaton,0,64,38,7.625,Zach Galifianakis,0,20,30,7.175,Edward Norton,0,46,77,7.925,4.1,155,14,45,36,3,84,350436,455,14
tt2717822,黑帽駭客,,Blackhat,2015/1/16,USA,5.4,"Crime,Drama,Mystery",70000000,133,Michael Mann,0,17,32,7.725,Chris Hemsworth,0,10,29,7.375,Viola Davis,0,81,107,7.65,Wei Tang,0,15,29,6.625,2.7,175,3,9,7,1,17,181881,198,11
tt4344878?,重返20歲,,Chong fan 20 sui,2015/1/23,"China,South Korea",6.7,"Comedy,Fantasy,Music",NA,131,Leste Chen,0,1,7,6.55,Zishan Yang,0,3,5,6.1,Ah-Lei Gua,0,6,5,7.35,Bo-lin Chen,0,4,1,6.675,4.6,515,4,31,13,6,50,356060,1399,24
tt3045616,神鬼大盜,,Mortdecai,2015/1/23,"UK,USA",5.5,"Action,Comedy,Crime",60000000,107,David Koepp,0,3,9,7.25,Johnny Depp,0,75,133,7.45,Gwyneth Paltrow,0,22,49,7.675,Ewan McGregor,0,25,42,7.6,3.8,60,1,2,0,0,2,65573,57,2
tt2279373,海綿寶寶：海陸大出擊,,The SpongeBob Movie: Sponge Out of Water,2015/1/30,"USA,South Korea",6,"Animation,Adventure,Comedy",74000000,92,Paul Tibbitt,0,2,3,7.075,Tom Kenny,0,9,23,7.75,Antonio Banderas,0,38,35,7.1,Bill Fagerbakke,0,1,3,7.475,3.9,119,0,0,0,0,0,690830,1589,122
tt2582802,進擊的鼓手,,Whiplash,2015/1/30,USA,8.5,"Drama,Music",3300000,107,Damien Chazelle,0,60,112,7.9,Miles Teller,0,4,21,6.75,J.K. Simmons,0,59,34,7.65,Melissa Benoist,0,2,2,7.2,4.4,153,3,39,48,0,87,243300,388,14
